Date,sma_5,std_5,momentum_5,sma_10,std_10,momentum_10,sma_20,std_20,momentum_20,sma_50,std_50,momentum_50,sma_100,std_100,momentum_100
2021-01-07,34988.3546875,3063.39527164843,7243.775390625,32164.83046875,3790.4075566687175,12286.234375,28350.8884765625,4816.748508782981,16233.08203125,22747.0909765625,5605.577369743306,21567.037109375,17965.739814453125,6392.323286807456,28526.40234375
2021-01-08,36591.471875,3659.4801958972407,8015.5859375,33508.34765625,4252.008859843362,13435.171875,29197.27734375,5435.428466662729,16927.77734375,23206.7013671875,6112.310432743475,22980.51953125,18265.87099609375,6746.51722107213,30013.1181640625
2021-01-09,38247.9984375,2825.0922121194244,8282.6328125,34649.70703125,4389.581529756247,11413.59375,30036.13994140625,5789.304890249923,16777.251953125,23639.366015625,6532.337036700215,21633.232421875,18562.221943359375,7051.245125470256,29635.0947265625
2021-01-10,39120.80078125,1582.5263712754195,4364.01171875,35585.1791015625,4034.6400676332782,9354.720703125,30813.80791015625,5811.15040460997,15553.359375,24033.6501953125,6813.473887060612,19714.208984375,18840.026611328125,7277.056208037185,27780.466796875
2021-01-11,38869.259375,2065.158082656476,-1257.70703125,36204.4294921875,3400.876741943689,6192.50390625,31402.9892578125,5656.086324524719,11783.626953125,24377.58328125,6954.321388773514,17196.654296875,19090.1998828125,7417.822494705316,25017.3271484375
2021-01-12,37779.64296875,2972.258128067696,-5448.08203125,36383.998828125,3203.350009555923,1795.693359375,31937.07001953125,5340.352463485851,10681.615234375,24688.760078125,7027.464590714504,15558.83984375,19322.733662109375,7515.023190506483,23253.3779296875
2021-01-13,37083.39296875,2450.508297575337,-3481.25,36837.432421875,2947.5434364679536,4534.3359375,32616.09052734375,5100.696128090248,13580.41015625,25052.93796875,7201.97223671425,18208.89453125,19587.963857421873,7677.2437470219365,26523.01953125
2021-01-14,36869.94921875,2130.874147999599,-1067.21875,37558.973828125,2468.346988249548,7215.4140625,33342.2173828125,4940.369229043489,14522.537109375,25462.042109375,7413.462313278634,20455.20703125,19873.793076171874,7869.085415101263,28582.921875
2021-01-15,36563.734375,1967.6120946339831,-1531.07421875,37842.267578125,2156.386375342308,2832.9375,33861.63388671875,4717.228569319822,10388.330078125,25855.5369921875,7485.108084653621,19674.744140625,20135.357060546874,7993.756101192408,26156.3984375
2021-01-16,36686.03125,1908.2534255380915,611.484375,37777.6453125,2199.531485067593,-646.22265625,34356.926171875,4386.909418758424,9905.845703125,26236.9317578125,7516.086139208837,19069.73828125,20387.981611328127,8097.948467745475,25262.455078125
2021-01-17,37059.69453125,1326.0496131809746,1868.31640625,37419.66875,2202.6932556802367,-3579.765625,34792.249609375,4046.03802326804,8706.46875,26598.4090234375,7532.590468153523,18073.86328125,20635.2498046875,8187.400668118414,24726.8193359375
2021-01-18,36922.4375,1328.3570316585842,-686.28515625,37002.915234375,1860.192939140975,-4167.53515625,35255.6314453125,3662.894216797744,9267.63671875,26967.4608203125,7563.56520526746,18452.58984375,20888.58693359375,8286.85282239347,25333.712890625
2021-01-19,36298.9328125,421.77965434976403,-3117.5234375,36584.441015625,1479.0853099226601,-4184.7421875,35617.0740234375,3338.933427207356,7228.8515625,27296.3401953125,7595.263746940538,16443.96875,21135.4431640625,8368.147214751414,24685.623046875
2021-01-20,36043.409375,409.9614732960638,-1277.6171875,36303.571875,1367.6869493259767,-2808.69140625,35944.37548828125,2955.106494518911,6546.029296875,27631.235234375,7582.276200225649,16744.751953125,21375.36703125,8434.383216799426,23992.38671875
2021-01-21,34972.92109375,2353.130606330016,-5352.44140625,35829.476171875,2212.37642880822,-4740.95703125,36016.95283203125,2798.948098010931,1451.546875,27863.7273828125,7496.243083889501,11624.607421875,21569.365029296874,8426.327521703623,19399.7998046875
2021-01-22,34415.81796875,2439.1127586225275,-2785.515625,35737.75625,2316.7487442993006,-917.19921875,36060.8775390625,2740.986487805495,878.494140625,28134.9346484375,7430.472207505926,13560.36328125,21785.127578125,8440.292763908652,21576.2548828125
2021-01-23,33503.331640625,2249.7180171356126,-4562.431640625,35212.8845703125,2506.1871534875877,-5248.716796875,36025.15849609375,2790.1769028393164,-714.380859375,28402.2921875,7323.785291180244,13367.876953125,21990.8505078125,8437.670488398027,20572.29296875
2021-01-24,32747.246484375,1751.677635150881,-3780.42578125,34523.0896484375,2224.1422788901364,-6897.94921875,36041.03173828125,2766.7088118586103,317.46484375,28664.99515625,7220.133236502941,13135.1484375,22200.52306640625,8430.389788825898,20967.255859375
2021-01-25,32110.975,798.6740414094475,-3181.357421875,34077.1921875,2157.2589300168615,-4458.974609375,35959.7298828125,2852.6338531585807,-1626.037109375,28925.4205859375,7111.12249499486,13021.271484375,22410.6059765625,8419.22345990245,21008.291015625
2021-01-26,32459.805078125,354.1683405963169,1744.150390625,33716.3630859375,2066.667089400184,-3608.291015625,35747.00419921875,2941.9965573782115,-4254.513671875,29192.9849609375,6988.022930715034,13378.21875,22621.47087890625,8406.832331595777,21086.490234375
2021-01-27,31945.162109375,864.4595271322705,-2573.21484375,33180.4900390625,2161.444893068834,-5358.73046875,35300.07939453125,3039.7930604414973,-8938.49609375,29435.2130078125,6811.150278359323,12111.40234375,22808.3759765625,8370.200649769631,18690.509765625
